Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Light_Value,Notes,QC
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,11:00,11:09,Light,4,67.83333333,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,11:00,11:09,Light,4,67.83333333,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,11:00,11:09,Light,4,67.83333333,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,11:00,11:09,Light,4,67.83333333,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,11:00,11:09,Light,4,67.83333333,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,11:00,11:09,Light,4,67.83333333,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,11:11,11:24,Light,5,115.3333333,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,11:11,11:24,Light,5,115.3333333,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,11:11,11:24,Light,5,115.3333333,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,11:11,11:24,Light,5,115.3333333,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,11:11,11:24,Light,5,115.3333333,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,11:11,11:24,Light,5,115.3333333,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,11:26,11:47,Light,6,165.5,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,11:26,11:47,Light,6,165.5,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,11:26,11:47,Light,6,165.5,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,11:26,11:47,Light,6,165.5,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,11:26,11:47,Light,6,165.5,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,11:26,11:47,Light,6,165.5,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,11:49,12:01,Light,7,315,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,11:49,12:01,Light,7,315,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,11:49,12:01,Light,7,315,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,11:49,12:01,Light,7,315,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,11:49,12:01,Light,7,315,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,11:49,12:01,Light,7,315,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,12:03,12:10,Light,8,493.5,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,12:03,12:10,Light,8,493.5,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,12:03,12:10,Light,8,493.5,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,12:03,12:10,Light,8,493.5,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,12:03,12:10,Light,8,493.5,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,12:03,12:10,Light,8,493.5,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,12:12,12:19,Light,9,677,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,12:12,12:19,Light,9,677,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,12:12,12:19,Light,9,677,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,12:12,12:19,Light,9,677,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,12:12,12:19,Light,9,677,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,12:12,12:19,Light,9,677,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,12:21,12:31,Light,10,815.5,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,12:21,12:31,Light,10,815.5,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,12:21,12:31,Light,10,815.5,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,12:21,12:31,Light,10,815.5,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,12:21,12:31,Light,10,815.5,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,12:21,12:31,Light,10,815.5,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,12:33,13:41,Light,11,1072.833333,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,12:33,13:41,Light,11,1072.833333,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,12:33,13:41,Light,11,1072.833333,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,12:33,13:41,Light,11,1072.833333,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,12:33,13:41,Light,11,1072.833333,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,12:33,13:41,Light,11,1072.833333,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,12:43,12:49,Light,12,1286.666667,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,12:43,12:49,Light,12,1286.666667,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,12:43,12:49,Light,12,1286.666667,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.1575216,12:43,12:49,Light,12,1286.666667,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.4207942,12:43,12:49,Light,12,1286.666667,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,12:43,12:49,Light,12,1286.666667,,
