Date,Sample-ID,Fragment-ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Light_Value,Notes,QC
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,17:07,17:20,Light,5,127,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,17:22,17:36,Light,6,175,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,17:22,17:36,Light,6,175,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,17:22,17:36,Light,6,175,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,17:22,17:36,Light,6,175,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,17:22,17:36,Light,6,175,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,17:22,17:36,Light,6,175,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,17:38,17:47,Light,7,339,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,17:38,17:47,Light,7,339,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,17:38,17:47,Light,7,339,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,17:38,17:47,Light,7,339,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,17:38,17:47,Light,7,339,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,17:38,17:47,Light,7,339,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,17:48,17:55,Light,8,547,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,17:48,17:55,Light,8,547,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,17:48,17:55,Light,8,547,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,17:48,17:55,Light,8,547,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,17:48,17:55,Light,8,547,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,17:48,17:55,Light,8,547,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,17:57,18:03,Light,9,734,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,17:57,18:03,Light,9,734,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,17:57,18:03,Light,9,734,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,17:57,18:03,Light,9,734,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,17:57,18:03,Light,9,734,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,17:57,18:03,Light,9,734,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,18:05,18:13,Light,10,886,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,18:05,18:13,Light,10,886,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,18:05,18:13,Light,10,886,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,18:05,18:13,Light,10,886,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,18:05,18:13,Light,10,886,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,18:05,18:13,Light,10,886,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,18:15,18:26,Light,11,1125,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,18:15,18:26,Light,11,1125,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,18:15,18:26,Light,11,1125,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,18:15,18:26,Light,11,1125,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,18:15,18:26,Light,11,1125,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,18:15,18:26,Light,11,1125,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,18:24,18:31,Light,12,1027,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,18:24,18:31,Light,12,1027,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,18:24,18:31,Light,12,1027,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,18:24,18:31,Light,12,1027,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,18:24,18:31,Light,12,1027,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,18:24,18:31,Light,12,1027,,
